,SD,SGG,NAME_AD,CODE,CODE_AD,P_ALL,H,P_M,P_F,AREA_KM,P_DEN,YEAR
0,서울특별시,종로구,청운효자동,1101072,1111051500,13272,5452,6254,7018,2.566515969,5171.212709,2017
1,서울특별시,종로구,사직동,1101053,1111053000,9441,4414,4318,5123,1.157671171,8155.165502,2017
2,서울특별시,종로구,삼청동,1101054,1111054000,2907,1414,1360,1547,1.478147696,1966.650564,2017
3,서울특별시,종로구,부암동,1101055,1111055000,10317,4325,4984,5333,2.273044779,4538.84591,2017
4,서울특별시,종로구,평창동,1101056,1111056000,18995,7510,8951,10044,8.941002196,2124.482198,2017
5,서울특별시,종로구,무악동,1101057,1111057000,8320,3024,3897,4423,0.369245654,22532.425,2017
6,서울특별시,종로구,교남동,1101058,1111058000,10225,4379,4780,5445,0.346667296,29495.13873,2017
7,서울특별시,종로구,가회동,1101060,1111060000,4531,2085,2127,2404,0.539550614,8397.729301,2017
8,서울특별시,종로구,종로1·2·3·4가동,1101061,1111061500,7590,5378,4502,3088,2.415358505,3142.390657,2017
9,서울특별시,종로구,종로5·6가동,1101063,1111063000,5357,3174,2943,2414,0.602712769,8888.14751,2017
10,서울특별시,종로구,이화동,1101064,1111064000,8249,4462,3878,4371,0.781806116,10551.20935,2017
11,서울특별시,종로구,혜화동,1101073,1111065000,17306,9153,8444,8862,1.131569887,15293.79688,2017
12,서울특별시,종로구,창신1동,1101067,1111067000,5520,3050,2989,2531,0.305106894,18092.01989,2017
13,서울특별시,종로구,창신2동,1101068,1111068000,9181,4280,4671,4510,0.257129076,35705.80252,2017
14,서울특별시,종로구,창신3동,1101069,1111069000,7350,2860,3633,3717,0.216671926,33922.25354,2017
15,서울특별시,종로구,숭인1동,1101070,1111070000,6566,3014,3272,3294,0.239215243,27448.0836,2017
16,서울특별시,종로구,숭인2동,1101071,1111071000,9643,5620,4964,4679,0.351640227,27422.91484,2017
17,서울특별시,중구,소공동,1102052,1114052000,2022,1048,1007,1015,0.943131325,2143.922003,2017
18,서울특별시,중구,회현동,1102054,1114054000,5331,3281,2930,2401,0.89715572,5942.112259,2017
19,서울특별시,중구,명동,1102055,1114055000,2942,1435,1244,1698,0.96896185,3036.23925,2017
20,서울특별시,중구,필동,1102057,1114057000,4078,2249,2113,1965,1.463379702,2786.699853,2017
21,서울특별시,중구,장충동,1102058,1114058000,4782,2628,2455,2327,1.01715903,4701.329742,2017
22,서울특별시,중구,광희동,1102059,1114059000,5001,2920,2657,2344,0.736856205,6786.941558,2017
23,서울특별시,중구,을지로동,1102060,1114060500,1623,1170,1030,593,0.611064544,2656.020574,2017
24,서울특별시,중구,신당동,1102069,1114061500,7878,4368,3984,3894,0.534537827,14737.96541,2017
25,서울특별시,중구,다산동,1102070,1114062500,14923,6863,7242,7681,0.523576037,28502.06837,2017
26,서울특별시,중구,약수동,1102071,1114063500,18181,7819,8676,9505,0.486002605,37409.26453,2017
27,서울특별시,중구,청구동,1102072,1114064500,14807,6449,7087,7720,0.342312374,43255.81285,2017
28,서울특별시,중구,신당5동,1102065,1114065000,9495,4467,4742,4753,0.319464454,29721.61653,2017
29,서울특별시,중구,동화동,1102073,1114066500,11197,4213,5409,5788,0.326798344,34262.71957,2017
30,서울특별시,중구,황학동,1102067,1114067000,12170,6205,6009,6161,0.328391116,37059.46779,2017
31,서울특별시,중구,중림동,1102068,1114068000,11279,5297,5668,5611,0.483588566,23323.54566,2017
32,서울특별시,용산구,후암동,1103051,1117051000,18327,8502,8951,9376,0.865180804,21182.85556,2017
33,서울특별시,용산구,용산2가동,1103052,1117052000,10981,5531,5282,5699,1.965443084,5587.035356,2017
34,서울특별시,용산구,남영동,1103053,1117053000,7974,5460,4919,3055,1.17690886,6775.375961,2017
35,서울특별시,용산구,청파동,1103071,1117055500,20415,10549,9794,10621,0.885568411,23052.9903,2017
36,서울특별시,용산구,원효로1동,1103072,1117056000,14630,6885,7110,7520,0.588577965,24856.52005,2017
37,서울특별시,용산구,원효로2동,1103057,1117057000,15077,6022,7057,8020,0.708448884,21281.70479,2017
38,서울특별시,용산구,효창동,1103058,1117058000,9467,3892,4550,4917,0.445866279,21232.8235,2017
39,서울특별시,용산구,용문동,1103059,1117059000,12635,5251,6094,6541,0.277325057,45560.25384,2017
40,서울특별시,용산구,한강로동,1103073,1117062500,16533,8861,8097,8436,2.867675972,5765.295717,2017
41,서울특별시,용산구,이촌1동,1103063,1117063000,27769,10015,12907,14862,2.870622196,9673.512606,2017
42,서울특별시,용산구,이촌2동,1103064,1117064000,9136,3846,4314,4822,1.204647714,7583.959938,2017
43,서울특별시,용산구,이태원1동,1103065,1117065000,7147,3904,3380,3767,0.582461012,12270.34917,2017
44,서울특별시,용산구,이태원2동,1103066,1117066000,9468,4920,4394,5074,0.873587487,10838.06732,2017
45,서울특별시,용산구,한남동,1103074,1117068500,20642,10881,9948,10694,3.029615061,6813.406846,2017
46,서울특별시,용산구,서빙고동,1103069,1117069000,13595,5301,6553,7042,2.819662888,4821.498364,2017
47,서울특별시,용산구,보광동,1103070,1117070000,15365,7846,7528,7837,0.714727861,21497.6928,2017
48,서울특별시,성동구,왕십리2동,1104052,1120052000,17787,7598,8747,9040,0.372143518,47796.07641,2017
49,서울특별시,성동구,왕십리도선동,1104071,1120053500,27100,11302,13030,14070,0.709747294,38182.60417,2017
50,서울특별시,성동구,마장동,1104054,1120054000,23461,10249,11606,11855,1.034489164,22678.82624,2017
51,서울특별시,성동구,사근동,1104055,1120055000,11194,6578,5813,5381,1.168326757,9581.22369,2017
52,서울특별시,성동구,행당1동,1104056,1120056000,13973,6251,6857,7116,0.573130421,24380.14017,2017
53,서울특별시,성동구,행당2동,1104057,1120057000,25327,9439,11957,13370,0.457145196,55402.52906,2017
54,서울특별시,성동구,응봉동,1104058,1120058000,16636,6245,7914,8722,0.553241638,30070.04328,2017
55,서울특별시,성동구,금호1가동,1104059,1120059000,13108,5318,6350,6758,0.444712772,29475.20471,2017
56,서울특별시,성동구,금호2·3가동,1104072,1120061500,24522,10215,11793,12729,0.630718801,38879.44987,2017
57,서울특별시,성동구,금호4가동,1104062,1120062000,14311,6040,6901,7410,0.831703701,17206.84901,2017
58,서울특별시,성동구,옥수동,1104073,1120064500,27187,10873,12809,14378,1.920575113,14155.65567,2017
59,서울특별시,성동구,성수1가1동,1104065,1120065000,17349,7564,8722,8627,1.884441694,9206.440325,2017
60,서울특별시,성동구,성수1가2동,1104066,1120066000,15991,7410,8014,7977,0.929378323,17206.12543,2017
61,서울특별시,성동구,성수2가1동,1104067,1120067000,18089,8638,9428,8661,1.184061095,15277.08332,2017
62,서울특별시,성동구,성수2가3동,1104068,1120069000,11664,5590,6034,5630,1.0536967,11069.59906,2017
63,서울특별시,성동구,송정동,1104069,1120072000,11487,5491,6117,5370,0.681394636,16858.07225,2017
64,서울특별시,성동구,용답동,1104070,1120079000,15622,8101,8276,7346,2.375333527,6576.76062,2017
65,서울특별시,광진구,화양동,1105053,1121571000,21591,15031,10337,11254,1.165115464,18531.21057,2017
66,서울특별시,광진구,군자동,1105054,1121573000,20193,10279,10010,10183,0.737460225,27381.81573,2017
67,서울특별시,광진구,중곡1동,1105055,1121574000,15883,7661,7848,8035,0.614033482,25866.66764,2017
68,서울특별시,광진구,중곡2동,1105056,1121575000,22464,10111,10941,11523,0.545123205,41209.0327,2017
