,new_code,SD,SGG,P_ALL,AREA_KM,P_DEN
0,1101,서울특별시,종로구,154770,23.973056018,6455.99792883277
1,1102,서울특별시,중구,125709,9.982379698999999,12593.089402579337
2,1103,서울특별시,용산구,229161,21.876319535,10475.299541742592
3,1104,서울특별시,성동구,304808,16.80424035,18138.755079160717
4,1105,서울특별시,광진구,357703,17.035929552,20996.975768663357
5,1106,서울특별시,동대문구,350647,14.266510105,24578.330468998745
6,1107,서울특별시,중랑구,408226,18.523177338,22038.65959661958
7,1108,서울특별시,성북구,444055,24.55986693,18080.51327255298
8,1109,서울특별시,강북구,324479,23.620588508,13737.125977623418
9,1110,서울특별시,도봉구,344166,20.689888199000002,16634.50264640069
10,1111,서울특별시,노원구,554403,35.562038206,15589.74198240588
11,1112,서울특별시,은평구,486794,29.773687355,16349.80559162253
12,1113,서울특별시,서대문구,312800,17.674706318,17697.60664602631
13,1114,서울특별시,마포구,374915,23.845164641,15722.894165107224
14,1115,서울특별시,양천구,471154,17.398935178,27079.47326545296
15,1116,서울특별시,강서구,601691,41.426354969,14524.352925818719
16,1117,서울특별시,구로구,410742,20.083369446,20451.847042121084
17,1118,서울특별시,금천구,235154,13.011343736,18072.99882097281
18,1119,서울특별시,영등포구,368550,24.50573939,15039.334016193503
19,1120,서울특별시,동작구,396217,16.3733714,24198.864749382035
20,1121,서울특별시,관악구,503297,29.553436054000002,17030.06713264665
21,1122,서울특별시,서초구,441102,46.885005258999996,9408.16786866685
22,1123,서울특별시,강남구,556164,39.458628096,14094.864085160109
23,1124,서울특별시,송파구,664496,33.826780558,19644.080490031953
24,1125,서울특별시,강동구,436223,24.537868818,17777.542264795393
25,2101,부산광역시,중구,44218,3.0095193179999997,14692.711801360168
26,2102,부산광역시,서구,110039,14.125058018,7790.339682836975
27,2103,부산광역시,동구,88868,10.082066869,8814.46246634689
28,2104,부산광역시,영도구,123521,14.609804892,8454.664584031325
29,2105,부산광역시,부산진구,371703,29.744503286,12496.527389480778
30,2106,부산광역시,동래구,270727,16.657080353,16252.96836316462
31,2107,부산광역시,남구,273854,27.241955174,10052.65584833533
32,2108,부산광역시,북구,302924,39.712921941,7627.844671063057
33,2109,부산광역시,해운대구,412039,52.254945981,7885.167466249381
34,2110,부산광역시,사하구,333301,47.429993995,7027.219949366558
35,2111,부산광역시,금정구,244469,65.651631055,3723.730790407855
36,2112,부산광역시,강서구,117382,185.18920132,633.8490536344411
37,2113,부산광역시,연제구,206742,12.134942314,17036.916587686053
38,2114,부산광역시,수영구,179996,10.334341436,17417.268542432546
39,2115,부산광역시,사상구,229219,36.199577778,6332.090429499595
40,2131,부산광역시,기장군,161651,219.61211491,736.0750569987761
41,2201,대구광역시,중구,78986,7.04237949,11215.811376276743
42,2202,대구광역시,동구,349379,181.482577808,1925.1379621113078
43,2203,대구광역시,서구,191992,17.403736512,11031.6540282956
44,2204,대구광역시,남구,152845,17.798925873,8587.31594763578
45,2205,대구광역시,북구,441375,93.748509637,4708.07484523254
46,2206,대구광역시,수성구,439211,76.787665401,5719.811869606342
47,2207,대구광역시,달서구,578068,62.516774821,9246.60623736817
48,2231,대구광역시,달성군,190421,422.80419563,450.3763254200042
49,2301,인천광역시,중구,117999,144.239893094,818.074649591573
50,2302,인천광역시,동구,69487,7.141683588,9729.778580047616
51,2303,인천광역시,남구,419267,24.964715439,16794.38329767697
52,2304,인천광역시,연수구,335142,57.047664393000005,5874.771624149495
53,2305,인천광역시,남동구,536578,57.559687134,9322.114603417434
54,2306,인천광역시,부평구,539941,32.09349788,16823.999740348652
55,2307,인천광역시,계양구,323784,45.503079138000004,7115.65032814681
56,2308,인천광역시,서구,516017,132.725164366,3887.8610734061162
57,2331,인천광역시,강화군,68485,412.80230579,165.90265858359706
58,2332,인천광역시,옹진군,20249,185.277814838,109.28993316174939
59,2401,광주광역시,동구,95448,48.701953329000006,1959.8392564506166
